college_name,location,best_suit_for,fees,placement,type
Mahatma Jyotiba Phule Rohilkhand University - [MJPRU],"Bareilly, Uttar Pradesh",MA,"₹ 20,900",,Government
Maharani Laxmi Bai Medical College,"Jhansi, Uttar Pradesh",MBBS,"₹ 42,000",,Government
GL Bajaj Institute of Management and Research - [GLBIMR],"Greater Noida, Uttar Pradesh",MBA/PGDM,"₹ 7,85,000","₹ 23,00,000",Private
Baba Raghav Das Medical College - [BRD],"Gorakhpur, Uttar Pradesh",MBBS,"₹ 1,89,000",,Government
Galgotias University - [GU],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 1,77,000","₹ 39,00,000",Private
Gautam Buddha University - [GBU],"Greater Noida, Uttar Pradesh",BE/B.Tech,"₹ 54,100","₹ 22,00,000",Government
All India Institute of Medical Sciences - [AIIMS],"New Delhi, Delhi NCR",MBBS,"₹ 1,628",,Government
Vardhman Mahavir Medical College - [VMMC],"New Delhi, Delhi NCR",MBBS,"₹ 57,000",,Government
IIT Delhi - Indian Institute of Technology [IITD],"New Delhi, Delhi NCR",BE/B.Tech,"₹ 2,27,750","₹ 2,00,00,000",Government
Shri Ram College of Commerce - [SRCC],"New Delhi, Delhi NCR",B.Com,"₹ 32,420","₹ 35,00,000",Government
Maulana Azad Medical College - [MAMC],"New Delhi, Delhi NCR",MBBS,"₹ 4,445",,Government
Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar Lohia Hospital,"New Delhi, Delhi NCR",MBBS,"₹ 54,500",,Government
National Council For Hotel Management and Catering Technology,"Noida, Uttar Pradesh",BHM,"₹ 1,25,915",,Government
FMS Delhi Faculty of Management Studies,"New Delhi, Delhi NCR",MBA/PGDM,"₹ 1,16,000","₹ 1,23,00,000",Government
Delhi University - [DU],"New Delhi, Delhi NCR",M.Phil/Ph.D in Arts,"₹ 21,390",,Government
University College of Medical Sciences - [UCMS],"New Delhi, Delhi NCR",MBBS,"₹ 31,340",,Government
MDI Gurgaon,"Gurgaon, Haryana",Executive MBA,"₹ 16,70,000","₹ 53,60,000",Private
Daulat Ram College - [DRC],"New Delhi, Delhi NCR",BA,"₹ 32,100","₹ 23,05,000",Government
IIFT Delhi Indian Institute of Foreign Trade,"New Delhi, Delhi NCR",BBA/BMS,"₹ 6,75,462","₹ 75,60,000",Government
